scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_score,rsm_selected_teacher_improvement,affine_selected_action,affine_value,affine_selected_teacher_improvement,orthogonal_selected_action,orthogonal_value,orthogonal_selected_teacher_improvement,rsm_proposal,avr_accept,opvr_accept,rsm_proposal_positive,rsm_proposal_catastrophe,rsm_proposal_noop
30e193cab0fc5a5d,0,1,9,0,-1,nan,nan,-1,nan,nan,-1,nan,nan,0,0,0,0,0,0
366e33370f605634,0,1,4,1,28,0.176893868184111,1.2326923098775557,-1,-0.03176689322923366,nan,28,0.5106827336472199,1.2326923098775557,1,0,1,1,0,0
3fabf2e29e5f5fc4,0,1,18,1,22,0.13640865119684362,0.00020328318849216487,-1,-0.05445449142501923,nan,-1,-0.1342800924311408,nan,1,0,0,1,0,0
46f5fac22c0b5cb0,0,1,5,0,5,0.0060178534605634685,-0.0008687456113751976,-1,-0.12752447221329172,nan,-1,-0.1272706540696938,nan,1,0,0,0,0,1
518c0014d1a45ca8,0,1,13,1,12,0.27116499328882765,-0.00013040864672486663,12,0.0210619061943459,-0.00013040864672486663,12,0.06956508584190169,-0.00013040864672486663,1,1,1,0,0,0
586dc46118d75100,0,1,14,1,9,0.2774287955593529,-0.00040474789324213,9,0.024572091878572812,-0.00040474789324213,9,0.14182720508069313,-0.00040474789324213,1,1,1,0,0,0
6596827fb10b569a,0,1,23,1,1,0.08223802716861205,0.0005793339748345616,-1,-0.08481128443304502,nan,-1,-0.09836430280164928,nan,1,0,0,1,0,0
8f79455cf8a85fb9,0,1,4,0,-1,nan,nan,-1,nan,nan,-1,nan,nan,0,0,0,0,0,0
b2f2a9a83437555c,0,1,1,0,7,0.1282250643340419,-0.0007529566446319302,-1,-0.0590405093436572,nan,7,0.24843277802022654,-0.0007529566446319302,1,0,1,0,0,1
d1d8fef2f07e554f,0,1,27,1,19,0.258708201510911,-6.528710596098719e-05,19,0.014081217743180614,-6.528710596098719e-05,-1,-0.2704240564299296,nan,1,1,0,0,0,0
d3578202f06d5c62,0,1,25,1,26,0.07564103257477955,8.269424438478445e-05,-1,-0.08850818848302731,nan,-1,-0.18253247577469175,nan,1,0,0,1,0,0
e7ee1c000ef85255,0,1,16,1,9,0.13871987374976466,0.0005864605173468984,-1,-0.05315930042633441,nan,-1,-0.20042732123146068,nan,1,0,0,1,0,0
e8a90962974f55d3,0,1,12,1,-1,nan,nan,-1,nan,nan,-1,nan,nan,0,0,0,0,0,0
f390221c855a53d1,0,1,17,1,23,0.12311679187632682,0.00017691048837065182,-1,-0.06190314518013269,nan,-1,-0.12290954950263737,nan,1,0,0,1,0,0
f473bc020969511e,0,1,24,1,2,0.37269358046960516,0.002340053756078042,2,0.07795773046688712,0.002340053756078042,2,0.031840377323000886,0.002340053756078042,1,1,1,1,0,0
5eae283cb1b95a45,0,1,6,1,25,0.16880198592320703,0.00021139208469539883,-1,-0.036301520607931716,nan,25,0.06413461774259979,0.00021139208469539883,1,0,1,1,0,0
ea5915d23f345a29,0,1,6,1,26,0.253337737852979,-6.736000906726325e-06,26,0.011071652013681115,-6.736000906726325e-06,26,0.005527906331307794,-6.736000906726325e-06,1,1,1,0,0,0
190d01845dda5596,0,1,4,0,-1,nan,nan,-1,nan,nan,-1,nan,nan,0,0,0,0,0,0
247baf6242815059,0,1,20,1,12,0.10640461116837571,-0.0004707026612013579,-1,-0.07126852022546343,nan,12,0.10817913570330978,-0.0004707026612013579,1,0,1,0,0,0
273d4e72b01d53cf,0,1,14,1,8,0.10595580456406163,-1.5629368781690487,-1,-0.07152002792787972,nan,-1,-0.24483057404256814,nan,1,0,0,0,1,0
275e9cfb52fd59de,0,1,12,1,8,0.9052465347908492,0.12727462194093242,8,0.37639623085627194,0.12727462194093242,8,0.0020424972763516958,0.12727462194093242,1,1,1,1,0,0
4082f94c512b5d1f,0,1,14,1,23,0.05384107891472038,-0.00014774904392167443,-1,-0.10072471160260738,nan,23,0.15716251230250272,-0.00014774904392167443,1,0,1,0,0,0
421dd5398e885a27,0,1,18,1,22,0.16646628537675648,-0.00011464735288172975,-1,-0.03761042888228314,nan,22,0.07185059451773054,-0.00011464735288172975,1,0,1,0,0,0
53620555ea3a5d3c,0,1,9,1,21,0.16280502917010292,0.0,-1,-0.039662168156263215,nan,-1,-0.01867221896192581,nan,1,0,0,0,0,0
60bd62401d0857f9,0,1,15,1,22,0.23395181210833113,-5.674398746347009e-05,22,0.00020793121193195155,-5.674398746347009e-05,22,0.01198265266399523,-5.674398746347009e-05,1,1,1,0,0,0
6db53a1807af5a90,0,1,13,0,-1,nan,nan,-1,nan,nan,-1,nan,nan,0,0,0,0,0,0
8e6c888a92425ff1,0,1,6,1,1,0.15108919089822714,0.00030813117888772723,-1,-0.046227632071714625,nan,-1,-0.065715855761348,nan,1,0,0,1,0,0
