scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_action,rsm_score,teacher_improvement,outcome_class,epv_raw_accept,quality_accept,risk_accept,joint_raw_accept,joint_main_accept,epv_raw_value,quality_value,risk_value,joint_raw_value,joint_main_value,delta_route_deviation_cost,delta_progress_deficit_cost,delta_global_comfort_cost,delta_hard_agent_risk,delta_soft_agent_risk,delta_agent_ttc_risk,delta_hard_off_route_risk,delta_soft_off_route_risk,delta_red_light_risk
366e33370f605634,0,1,4,1,28,0.1768938681841109,1.2326923098775557,material_positive_gt_0p2,True,True,True,True,False,0.04435554500527599,0.04769988985690745,0.04435554500527599,0.0385301772794964,-0.03446736761822003,5.814137935638367,-3.507160186767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3fabf2e29e5f5fc4,0,1,18,1,22,0.13640865119684364,0.00020328318849216487,positive_le_1e-3,True,True,False,False,False,0.0616147671500899,0.07866194150568633,-0.0678340243022704,-0.05106649974140476,-0.12406404463912118,3.3306690738754696e-14,5.089912414550781,0.0004880539418081753,0.0,-0.03849369287490845,-0.3802199065685272,0.0,0.0,0.0
46f5fac22c0b5cb0,0,1,5,0,5,0.0060178534605635214,-0.0008687456113751976,harmful_noncat,False,False,False,False,False,-0.01829712442537891,-0.032732857784812885,-0.01829712442537891,-0.01057165301669134,-0.08356919791440777,-18.88117027282715,1.4556808471679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518c0014d1a45ca8,0,1,13,1,12,0.27116499328882765,-0.00013040864672486663,harmful_noncat,False,False,False,False,False,-0.00012830301467165692,-0.001634691566095188,-0.00012830301467165692,-0.004183974351621626,-0.07718151924933805,-1.9783979142429242e-14,-2.377349853515625,-2.0874867914244533e-05,0.0,0.0,0.0,0.0,0.0,0.0
586dc46118d75100,0,1,14,1,9,0.27742879555935296,-0.00040474789324213,harmful_noncat,False,False,False,False,False,-0.06663066208594547,-0.07252252497564693,-0.06663066208594547,-0.08097730244843533,-0.15397484734615174,-0.27922821044921875,-6.674612045288086,-0.00010484027734491974,0.0,0.0,0.0,0.0,0.0,0.0
6596827fb10b569a,0,1,23,1,1,0.08223802716861195,0.0005793339748345616,positive_le_1e-3,True,True,True,True,False,0.08550637484187507,0.09566207418370856,0.09380563425272707,0.06895760706977667,-0.004039937827939752,19.347351074218693,-7.905290603637695,-7.468004332622513e-05,0.0,0.0,-0.09150552749633789,0.0,0.0,0.0
b2f2a9a83437555c,0,1,1,0,7,0.1282250643340419,-0.0007529566446319302,harmful_noncat,False,False,False,False,False,-0.12863562755301708,-0.1404873922864834,-0.7300288827793796,-0.7312741737327559,-0.8042717186304724,-14.911311626434326,-0.10411262512207031,0.0,0.0,-0.1416720747947693,-0.021469414234161377,0.0,0.0,0.0
d1d8fef2f07e554f,0,1,27,1,19,0.2587082015109109,-6.528710596098719e-05,harmful_noncat,True,True,True,True,True,0.09991151909538781,0.09169740943754676,0.09991151909538781,0.07893302019548337,0.005935475297766946,0.8505535125732422,-5.193880081176758,-0.00022513637668453157,0.0,0.0,0.0,0.0,0.0,0.0
d3578202f06d5c62,0,1,25,1,26,0.07564103257477955,8.269424438478445e-05,positive_le_1e-3,True,True,True,True,False,0.028310564645904316,0.028715813942870146,0.02801514744569619,0.029866296749291144,-0.04313124814842528,1.021405182655144e-13,2.2554969787597656,-1.3039095392741729e-05,0.0,0.0,0.003257195057813078,0.0,0.0,0.0
e7ee1c000ef85255,0,1,16,1,9,0.13871987374976466,0.0005864605173468984,positive_le_1e-3,False,False,False,False,False,-0.10103801582353941,-0.09363308179079309,-0.10103801582353941,-0.10707119507622698,-0.1800687399739434,10.423959732055664,-2.3729286193847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
