scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_teacher_improvement,quality_selected_action,plan_control_selected_action,agent_2d_selected_action,ego_ref_selected_action,fsfr_joint_selected_action,quality_value,plan_control_value,agent_2d_value,ego_ref_value,fsfr_joint_value,fsfr_plan_1d_occupancy_cost_improvement,fsfr_plan_2d_occupancy_cost_improvement,fsfr_predicted_demo_cost_improvement,v48_sign_nomult_risk,v48_sign_mult_risk,v48_sign_nomult_threshold,v48_sign_mult_threshold,v48_sign_nomult_selected_action,v48_sign_mult_selected_action
30e193cab0fc5a5d,0,1,9,0,-1,nan,-1,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.524954491750987,1.1827798501632278,-1,-1
366e33370f605634,0,1,4,1,28,1.2326923098775557,28,-1,-1,-1,-1,0.04769988985690745,-0.07487062715117496,-0.25294451220666714,-0.04428899464432066,-0.22185132964333917,-0.02371130673414354,-0.06216400148744908,0.37405641266905776,0.46735991677846994,0.9240106358588932,1.524954491750987,1.1827798501632278,28,28
3fabf2e29e5f5fc4,0,1,18,1,22,0.00020328318849216487,22,22,22,22,22,0.07866194150568633,0.13030188604636064,0.12697554129973102,0.09414435142919082,0.08775516179978615,0.009989764215952102,0.009989764215952102,-0.4388285021998649,0.7612346317905395,0.42281246311916043,1.524954491750987,1.1827798501632278,22,22
46f5fac22c0b5cb0,0,1,5,0,5,-0.0008687456113751976,-1,5,5,5,5,-0.032732857784812885,0.06126515472422968,0.06925430390915721,0.018329094823775108,0.022974712379969744,0.01818394636333956,0.021087803490530382,-0.522297807424541,0.9220087034603573,1.130116221672557,1.524954491750987,1.1827798501632278,5,5
518c0014d1a45ca8,0,1,13,1,12,-0.00013040864672486663,-1,12,12,12,12,-0.001634691566095188,0.1334629953064226,0.12476078841973126,0.15386846866282233,0.14773390554317925,0.026134691854945144,0.026134691854945144,0.24161479104908268,0.025164739411624205,-0.041011521419203785,1.524954491750987,1.1827798501632278,12,12
586dc46118d75100,0,1,14,1,9,-0.00040474789324213,-1,-1,-1,-1,-1,-0.07252252497564693,-0.4322105728406123,-0.4090415617372268,-0.36663914656592717,-0.33927492334833326,-0.06958177088352421,-0.06958177088352421,0.8055922446878951,0.8526928204862987,0.8446027528067024,1.524954491750987,1.1827798501632278,9,9
6596827fb10b569a,0,1,23,1,1,0.0005793339748345616,1,1,1,1,1,0.09566207418370856,0.45443557351560326,0.4313150048485318,0.5754631402981103,0.5653106694962323,0.06940485116971187,0.06940268682169733,1.4493165302676108,-1.8761259670790091,-1.9664205387186122,1.524954491750987,1.1827798501632278,1,1
8f79455cf8a85fb9,0,1,4,0,-1,nan,-1,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.524954491750987,1.1827798501632278,-1,-1
b2f2a9a83437555c,0,1,1,0,7,-0.0007529566446319302,-1,-1,-1,-1,-1,-0.1404873922864834,-0.20804712565862846,-0.20369532074897895,-0.21768231994078335,-0.21456217570374764,-0.013069452589143049,-0.013069452589143049,-0.1139487735778153,1.117211119316077,2.096724702243905,1.524954491750987,1.1827798501632278,7,-1
d1d8fef2f07e554f,0,1,27,1,19,-6.528710596098719e-05,19,19,19,19,19,0.09169740943754676,0.30094341467510705,0.22286151139954075,0.4381959382477345,0.37322886554358137,0.040478708372869404,0.027120695990012586,1.650876851944063,-1.6855589025033797,-1.813258598042007,1.524954491750987,1.1827798501632278,19,19
d3578202f06d5c62,0,1,25,1,26,8.269424438478445e-05,26,26,26,26,26,0.028715813942870146,0.151317305638604,0.14341935750418167,0.14721153908000398,0.13956222229700124,0.0237172987976334,0.0237171595533425,-0.05412135363641468,0.2924232091708065,-0.11278916570021116,1.524954491750987,1.1827798501632278,26,26
e7ee1c000ef85255,0,1,16,1,9,0.0005864605173468984,-1,-1,-1,-1,-1,-0.09363308179079309,-0.32763808499382757,-0.23956909879546612,-0.2948319996726645,-0.20428243786667544,-0.04526834465343338,-0.030175072996145524,0.4050333274560387,0.9576161363138076,0.8239934362379013,1.524954491750987,1.1827798501632278,9,9
e8a90962974f55d3,0,1,12,1,-1,nan,-1,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.524954491750987,1.1827798501632278,-1,-1
f390221c855a53d1,0,1,17,1,23,0.00017691048837065182,23,-1,-1,-1,-1,0.059610245492826036,-0.42636323462329895,-0.3950596507994948,-0.46845756541495687,-0.44350978960231935,-0.09401172919041212,-0.09401172919041212,-0.4908058075588817,2.2071464694933542,1.8668747975597502,1.524954491750987,1.1827798501632278,-1,-1
f473bc020969511e,0,1,24,1,2,0.002340053756078042,2,2,2,2,2,0.09503579861004448,0.45706566064109294,0.43181066864651607,0.586123358085808,0.5745745705229861,0.07003479560236991,0.06963466932424606,1.5462334772960498,-1.9772547397502296,-2.0681250509023372,1.524954491750987,1.1827798501632278,2,2
5eae283cb1b95a45,0,1,6,1,25,0.00021139208469539883,25,25,25,25,25,0.0061142925815621035,0.13714374296756227,0.11889300500364555,0.13754235112992075,0.11990932667116543,0.02534769017172231,0.023319163765026574,0.0,0.2566035182119927,0.4803200394849044,1.524954491750987,1.1827798501632278,25,25
ea5915d23f345a29,0,1,6,1,26,-6.736000906726325e-06,-1,-1,-1,-1,-1,-0.004502313348245195,-0.008396203259108292,-0.008145380263342881,-0.00840804896476624,-0.008178210287400803,-0.0007532742809543136,-0.0007532740193217369,0.0,0.6166504403295038,0.8363951785987276,1.524954491750987,1.1827798501632278,26,26
190d01845dda5596,0,1,4,0,-1,nan,-1,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.524954491750987,1.1827798501632278,-1,-1
247baf6242815059,0,1,20,1,12,-0.0004707026612013579,-1,-1,-1,12,12,-0.012360534393614854,-0.02341730702211007,-0.02270509406613943,0.07467862480811445,0.08435968247152344,-0.0021389362930291367,-0.0021389362930291367,1.1858044948308397,-0.5011422392780466,-0.5856651228306874,1.524954491750987,1.1827798501632278,12,12
273d4e72b01d53cf,0,1,14,1,8,-1.5629368781690487,-1,-1,-1,-1,-1,-0.1434606417850462,-0.20972162205335904,-0.20545347526151983,-0.20265629183819794,-0.198076635171373,-0.012818208375048268,-0.012818208375048268,0.08781377723053363,0.923387000279445,0.7979925141732612,1.524954491750987,1.1827798501632278,8,8
275e9cfb52fd59de,0,1,12,1,8,0.12727462194093242,8,8,8,8,8,0.8503470886511855,0.7690258314863265,0.7742640736836353,0.766443288318508,0.7710284407150789,-0.01573162388239735,-0.01573162388239735,-0.028218158028206597,-0.5970764395570469,-0.731576455486443,1.524954491750987,1.1827798501632278,8,8
