scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_score,rsm_selected_teacher_improvement,dense_selected_action,dense_value,dense_shift_selected_action,dense_shift_value,cfsr_raw_selected_action,cfsr_raw_value,cfsr_main_selected_action,cfsr_main_value,rsmr_proposal,rsmr_y,dense_accepts_frozen_rsmr_winner,dense_deletes_rsmr_proposal,dense_shift_accepts_frozen_rsmr_winner,dense_shift_deletes_rsmr_proposal,cfsr_raw_accepts_frozen_rsmr_winner,cfsr_raw_deletes_rsmr_proposal,cfsr_main_accepts_frozen_rsmr_winner,cfsr_main_deletes_rsmr_proposal,rsmr_outcome_class,domain,cfsr_main_removed_catastrophe,cfsr_main_missed_positive,cfsr_main_missed_near_zero_positive_le_0p01
30e193cab0fc5a5d,0,1,9,0,-1,,,-1,,-1,,-1,,-1,,0,,0,0,0,0,0,0,0,0,RSMR_abstain,no_positive_opportunity,0,0,0
366e33370f605634,0,1,4,1,28,0.1768938681841109,1.2326923098775555,28,0.1904850688958888,28,0.1229798144543322,-1,-0.9300698622518332,-1,-1.0598914622773763,1,1.2326923098775555,1,0,1,0,0,1,0,1,material_positive_gt_0p2,positive_opportunity,0,1,0
3fabf2e29e5f5fc4,0,1,18,1,22,0.1364086511968436,0.0002032831884921,22,0.0969791380535447,22,0.0294738836119882,22,0.1138534497501997,-1,-0.0159681502753434,1,0.0002032831884921,1,0,1,0,1,0,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
46f5fac22c0b5cb0,0,1,5,0,5,0.0060178534605635,-0.0008687456113751,-1,-0.0139948135039534,-1,-0.08150006794551,5,0.070884568714559,-1,-0.058937031310984,1,-0.0008687456113751,0,1,0,1,1,0,0,1,mild_harm,no_positive_opportunity,0,0,0
518c0014d1a45ca8,0,1,13,1,12,0.2711649932888276,-0.0001304086467248,12,0.038710561622988,-1,-0.0287946928185684,12,0.1466784383088236,12,0.0168568382832805,1,-0.0001304086467248,1,0,0,1,1,0,1,0,mild_harm,positive_opportunity,0,0,0
586dc46118d75100,0,1,14,1,9,0.2774287955593529,-0.0004047478932421,-1,-0.0188280040061411,-1,-0.0863332584476977,9,0.2254217888447464,9,0.0956001888192033,1,-0.0004047478932421,0,1,0,1,1,0,1,0,mild_harm,positive_opportunity,0,0,0
6596827fb10b569a,0,1,23,1,1,0.0822380271686119,0.0005793339748345,1,0.0057937603225926,-1,-0.0617114941189639,-1,-0.0631152051180236,-1,-0.1929368051435667,1,0.0005793339748345,1,0,0,1,0,1,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
8f79455cf8a85fb9,0,1,4,0,-1,,,-1,,-1,,-1,,-1,,0,,0,0,0,0,0,0,0,0,RSMR_abstain,no_positive_opportunity,0,0,0
b2f2a9a83437555c,0,1,1,0,7,0.1282250643340419,-0.0007529566446319,-1,-0.0144863250278289,-1,-0.0819915794693855,7,0.1553030398768244,7,0.0254814398512813,1,-0.0007529566446319,0,1,0,1,1,0,1,0,mild_harm,no_positive_opportunity,0,0,0
d1d8fef2f07e554f,0,1,27,1,19,0.2587082015109109,-6.528710596098719e-05,19,0.2180412382373967,19,0.1505359837958402,19,0.4434500450816195,19,0.3136284450560764,1,-6.528710596098719e-05,1,0,1,0,1,0,1,0,mild_harm,positive_opportunity,0,0,0
d3578202f06d5c62,0,1,25,1,26,0.0756410325747795,8.269424438478445e-05,26,0.0280336791624671,-1,-0.0394715752790893,26,0.0548709255532889,-1,-0.0749506744722541,1,8.269424438478445e-05,1,0,0,1,1,0,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
e7ee1c000ef85255,0,1,16,1,9,0.1387198737497646,0.0005864605173468,-1,-0.002720953584569,-1,-0.0702262080261255,9,0.044366374292978,-1,-0.085455225732565,1,0.0005864605173468,0,1,0,1,1,0,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
e8a90962974f55d3,0,1,12,1,-1,,,-1,,-1,,-1,,-1,,0,,0,0,0,0,0,0,0,0,RSMR_abstain,positive_opportunity,0,0,0
f390221c855a53d1,0,1,17,1,23,0.1231167918763268,0.0001769104883706,23,0.0800585133995113,23,0.0125532589579547,23,0.1206314114793329,-1,-0.0091901885462101,1,0.0001769104883706,1,0,1,0,1,0,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
f473bc020969511e,0,1,24,1,2,0.3726935804696051,0.002340053756078,2,0.1353765686081339,2,0.0678713141665773,2,0.2354798260170331,2,0.1056582259914899,1,0.002340053756078,1,0,1,0,1,0,1,0,near_zero_positive_le_0p01,positive_opportunity,0,0,0
5eae283cb1b95a45,0,1,6,1,25,0.168801985923207,0.0002113920846953,25,0.0073134818096157,-1,-0.0601917726319407,25,0.2509035409684393,25,0.1210819409428962,1,0.0002113920846953,1,0,0,1,1,0,1,0,near_zero_positive_le_0p01,positive_opportunity,0,0,0
ea5915d23f345a29,0,1,6,1,26,0.253337737852979,-6.736000906726325e-06,26,0.0631582349836443,-1,-0.0043470194579122,26,0.208118361058681,26,0.0782967610331378,1,-6.736000906726325e-06,1,0,0,1,1,0,1,0,mild_harm,positive_opportunity,0,0,0
190d01845dda5596,0,1,4,0,-1,,,-1,,-1,,-1,,-1,,0,,0,0,0,0,0,0,0,0,RSMR_abstain,no_positive_opportunity,0,0,0
247baf6242815059,0,1,20,1,12,0.1064046111683757,-0.0004707026612013,-1,-0.0605332271262074,-1,-0.1280384815677639,-1,-0.047574471079634,-1,-0.1773960711051771,1,-0.0004707026612013,0,1,0,1,0,1,0,1,mild_harm,positive_opportunity,0,0,0
273d4e72b01d53cf,0,1,14,1,8,0.1059558045640616,-1.5629368781690487,8,0.0484957237368019,-1,-0.0190095307047546,8,0.1000715637858055,-1,-0.0297500362397375,1,-1.5629368781690487,1,0,0,1,1,0,0,1,catastrophe,positive_opportunity,1,0,0
275e9cfb52fd59de,0,1,12,1,8,0.9052465347908496,0.1272746219409324,8,0.3429943520581031,8,0.2754890976165465,-1,-1.443038665118728,-1,-1.5728602651442711,1,0.1272746219409324,1,0,1,0,0,1,0,1,small_positive_0p01_to_0p2,positive_opportunity,0,1,0
4082f94c512b5d1f,0,1,14,1,23,0.0538410789147204,-0.0001477490439216,-1,-0.0094783329360081,-1,-0.0769835873775646,23,0.093675750993819,-1,-0.0361458490317241,1,-0.0001477490439216,0,1,0,1,1,0,0,1,mild_harm,positive_opportunity,0,0,0
421dd5398e885a27,0,1,18,1,22,0.1664662853767564,-0.0001146473528817,22,0.0065892556913786,-1,-0.0609159987501779,22,0.0038548182105387,-1,-0.1259667818150044,1,-0.0001146473528817,1,0,0,1,1,0,0,1,mild_harm,positive_opportunity,0,0,0
53620555ea3a5d3c,0,1,9,1,21,0.1628050291701029,0.0,21,0.0367038801926516,-1,-0.0308013742489048,21,0.190528822485658,21,0.0607072224601149,1,0.0,1,0,0,1,1,0,1,0,mild_harm,positive_opportunity,0,0,0
60bd62401d0857f9,0,1,15,1,22,0.2339518121083311,-5.674398746347009e-05,22,0.0412792888251448,-1,-0.0262259656164116,22,0.2107250664466351,22,0.080903466421092,1,-5.674398746347009e-05,1,0,0,1,1,0,1,0,mild_harm,positive_opportunity,0,0,0
6db53a1807af5a90,0,1,13,0,-1,,,-1,,-1,,-1,,-1,,0,,0,0,0,0,0,0,0,0,RSMR_abstain,no_positive_opportunity,0,0,0
8e6c888a92425ff1,0,1,6,1,1,0.1510891908982271,0.0003081311788877,1,0.0805582614125274,1,0.0130530069709709,1,0.1615724813280448,1,0.0317508813025016,1,0.0003081311788877,1,0,1,0,1,0,1,0,near_zero_positive_le_0p01,positive_opportunity,0,0,0
9a82cf7a1636581e,0,1,5,0,2,0.0756104859967904,-0.0042642683826388,2,0.0698748459828704,2,0.0023695915413138,-1,-0.0867491251328451,-1,-0.2165707251583883,1,-0.0042642683826388,1,0,1,0,0,1,0,1,mild_harm,no_positive_opportunity,0,0,0
c70bcca6e16953d7,0,1,14,1,10,0.0393977324969763,0.0003409750871363,10,0.0851660641975028,10,0.0176608097559463,10,0.0330393187888512,-1,-0.0967822812366919,1,0.0003409750871363,1,0,1,0,1,0,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
d04f957744a353ba,0,1,10,1,21,0.1639535399829263,0.0001638741232454,21,0.0720623228969148,21,0.0045570684553583,21,0.1545581253508126,21,0.0247365253252695,1,0.0001638741232454,1,0,1,0,1,0,1,0,near_zero_positive_le_0p01,positive_opportunity,0,0,0
d0c144dfeca55025,0,1,25,1,22,0.0984392131428491,-0.0001029941059838,22,0.0224397609052132,-1,-0.0450654935363433,22,0.1797537887179251,22,0.049932188692382,1,-0.0001029941059838,1,0,0,1,1,0,1,0,mild_harm,positive_opportunity,0,0,0
f6cbfc9328fd5914,0,1,5,1,15,0.5971377137121933,0.0028377727983173,15,0.203105095678648,15,0.1355998412370915,-1,-0.2305143099643744,-1,-0.3603359099899175,1,0.0028377727983173,1,0,1,0,0,1,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
d0ce91bcf7ba557a,0,1,2,1,-1,,,-1,,-1,,-1,,-1,,0,,0,0,0,0,0,0,0,0,RSMR_abstain,positive_opportunity,0,0,0
00bf712a8e9e59bf,0,1,1,0,-1,,,-1,,-1,,-1,,-1,,0,,0,0,0,0,0,0,0,0,RSMR_abstain,no_positive_opportunity,0,0,0
07db46e8eac253cf,0,1,12,1,16,0.2530217512025169,0.7593208522055517,16,0.0266450634312064,-1,-0.0408601910103501,16,0.1838743027596139,16,0.0540527027340708,1,0.7593208522055517,1,0,0,1,1,0,1,0,material_positive_gt_0p2,positive_opportunity,0,0,0
13adf1483845581c,0,1,18,1,21,0.1275596190793776,0.0006412762776015,21,0.0885853517785381,21,0.0210800973369816,21,0.1158628325591925,-1,-0.0139587674663505,1,0.0006412762776015,1,0,1,0,1,0,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
2ffe7083e279569c,0,1,15,1,3,0.0759099948208489,0.000160507233395,3,0.0895149668506138,3,0.0220097124090573,-1,-0.0286399156857143,-1,-0.1584615157112575,1,0.000160507233395,1,0,1,0,0,1,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
36857cb219845df9,0,1,14,1,7,0.0111505997441622,0.0001324263616466,7,0.0797355341918155,7,0.0122302797502589,-1,-0.1819377493918688,-1,-0.311759349417412,1,0.0001324263616466,1,0,1,0,0,1,0,1,near_zero_positive_le_0p01,positive_opportunity,0,1,1
