scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,incumbent_action,rsm_selected_action,teacher_improvement,outcome_bin,quality_accept,future_mean_accept,future_robust_raw_accept,cfrv_main_accept,quality_value,future_mean_value,future_robust_raw_value,cfrv_main_value,delta_route_deviation_cost,delta_progress_deficit_cost,delta_global_comfort_cost,delta_hard_agent_risk,delta_soft_agent_risk,delta_agent_ttc_risk,delta_hard_off_route_risk,delta_soft_off_route_risk,delta_red_light_risk,delta_future_response_mean_agent_cost,delta_future_response_cvar_agent_cost,delta_future_response_robust_agent_cost,current_risk_all_zero,future_response_all_zero,current_and_future_all_zero
30e193cab0fc5a5d,0,1,9,0,3,-1,nan,no_rsmr_proposal,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False
366e33370f605634,0,1,4,1,6,28,1.2326923098775557,material_positive_gt_0.2,True,True,True,True,0.04769988985690745,0.04769988985690745,0.04769988985690745,0.004673155607097641,5.814137935638367,-3.507160186767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
3fabf2e29e5f5fc4,0,1,18,1,3,22,0.00020328318849216487,positive_le_0.001,True,False,False,False,0.07866194150568633,-0.5219291429885932,-0.34577197915725627,-0.38879871340706607,3.3306690738754696e-14,5.089912414550781,0.0004880539418081753,0.0,-0.03849369287490845,-0.3802199065685272,0.0,0.0,0.0,-2.1451010704040527,-2.1451010704040527,-2.1451010704040527,False,False,False
46f5fac22c0b5cb0,0,1,5,0,3,5,-0.0008687456113751976,mild_harm,False,False,False,False,-0.032732857784812885,-0.032732857784812885,-0.032732857784812885,-0.0757595920346227,-18.88117027282715,1.4556808471679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
518c0014d1a45ca8,0,1,13,1,10,12,-0.00013040864672486663,mild_harm,False,False,False,False,-0.001634691566095188,-0.001634691566095188,-0.001634691566095188,-0.044661425815904994,-1.9783979142429242e-14,-2.377349853515625,-2.0874867914244533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
586dc46118d75100,0,1,14,1,3,9,-0.00040474789324213,mild_harm,False,False,False,False,-0.07252252497564693,-0.07252252497564693,-0.07252252497564693,-0.11554925922545674,-0.27922821044921875,-6.674612045288086,-0.00010484027734491974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
6596827fb10b569a,0,1,23,1,7,1,0.0005793339748345616,positive_le_0.001,True,False,False,False,0.09566207418370856,-0.045247756846526516,-0.003918012148200853,-0.04694474639801066,19.347351074218693,-7.905290603637695,-7.468004332622513e-05,0.0,0.0,-0.09150552749633789,0.0,0.0,0.0,-0.5032805800437927,-0.5032805800437927,-0.5032805800437927,False,False,False
8f79455cf8a85fb9,0,1,4,0,5,-1,nan,no_rsmr_proposal,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False
b2f2a9a83437555c,0,1,1,0,2,7,-0.0007529566446319302,mild_harm,False,False,False,False,-0.1404873922864834,-0.267869597706372,-0.32426321363172195,-0.36728994788153174,-14.911311626434326,-0.10411262512207031,0.0,0.0,-0.1416720747947693,-0.021469414234161377,0.0,0.0,0.0,-0.45496463775634766,-1.6395740509033203,-0.9288082122802734,False,False,False
d1d8fef2f07e554f,0,1,27,1,7,19,-6.528710596098719e-05,mild_harm,True,True,True,True,0.09169740943754676,0.09169740943754676,0.09169740943754676,0.04867067518773695,0.8505535125732422,-5.193880081176758,-0.00022513637668453157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
d3578202f06d5c62,0,1,25,1,21,26,8.269424438478445e-05,positive_le_0.001,True,True,True,False,0.028715813942870146,0.033731502935662246,0.032260369629755294,-0.010766364620054515,1.021405182655144e-13,2.2554969787597656,-1.3039095392741729e-05,0.0,0.0,0.003257195057813078,0.0,0.0,0.0,0.017914284951984882,0.01791428681463003,0.017914284951984882,False,False,False
e7ee1c000ef85255,0,1,16,1,6,9,0.0005864605173468984,positive_le_0.001,False,False,False,False,-0.09363308179079309,-0.09363308179079309,-0.09363308179079309,-0.1366598160406029,10.423959732055664,-2.3729286193847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
e8a90962974f55d3,0,1,12,1,23,-1,nan,no_rsmr_proposal,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False
f390221c855a53d1,0,1,17,1,3,23,0.00017691048837065182,positive_le_0.001,True,True,True,True,0.059610245492826036,0.059610245492826036,0.059610245492826036,0.016583511243016227,3.996801872211027e-14,4.244878768920898,0.00011982975411228836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
f473bc020969511e,0,1,24,1,7,2,0.002340053756078042,positive_0.001_0.01,True,True,True,True,0.09503579861004448,0.09503579861004448,0.09503579861004448,0.05200906436023467,51.30136489868149,-5.743677139282227,-0.00013970755389891565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
5eae283cb1b95a45,0,1,6,1,3,25,0.00021139208469539883,positive_le_0.001,True,True,True,False,0.0061142925815621035,0.0061142925815621035,0.0061142925815621035,-0.036912441668247704,-3.885781433220995e-15,-2.4070472717285156,-1.4695455320179462e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
ea5915d23f345a29,0,1,6,1,0,26,-6.736000906726325e-06,mild_harm,False,False,False,False,-0.004502313348245195,-0.004502313348245195,-0.004502313348245195,-0.047529047598055006,1.1102230246251565e-15,-0.1673736572265625,0.00015709077706560493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
190d01845dda5596,0,1,4,0,5,-1,nan,no_rsmr_proposal,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False
